Level,Date,Hour,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
CHA,30.11.2019,15:00,Nott'm Forest,Cardiff,0,1,A,0,1,A,R Jones,32,10,2,4,12,14,9,1,0,1,0,0,2.25,3.3,3.25
CHA,30.11.2019,15:00,Stoke,Blackburn,1,2,A,0,1,A,K Friend,16,6,4,5,9,5,6,2,0,0,0,0,1.95,3.4,4.0
CHA,06.12.2019,19:45,Millwall,Nott'm Forest,2,2,D,1,0,H,J Brooks,16,10,5,5,10,9,10,2,1,2,0,0,2.5,3.2,2.9
CHA,07.12.2019,15:00,Cardiff,Barnsley,3,2,H,1,1,D,P Tierney,11,14,2,2,10,18,8,5,1,5,0,0,1.72,3.9,4.6
CHA,07.12.2019,15:00,Luton,Wigan,2,1,H,0,1,A,A Madley,18,11,5,1,9,18,8,3,1,2,0,1,2.4,3.5,2.87
CHA,07.12.2019,15:00,QPR,Preston,2,0,H,1,0,H,A Davies,11,8,6,3,14,19,2,2,2,2,0,0,2.25,3.6,3.0
CHA,10.12.2019,19:45,Charlton,Huddersfield,0,1,A,0,0,D,G Scott,6,15,0,5,16,15,1,6,3,2,0,0,2.65,3.3,2.65
CHA,10.12.2019,20:00,Stoke,Luton,3,0,H,2,0,H,J Gillett,15,4,8,1,16,10,7,4,1,2,0,0,1.61,4.1,5.25
CHA,11.12.2019,19:45,Brentford,Cardiff,2,1,H,1,0,H,J Brooks,16,10,5,3,13,11,6,9,2,2,0,0,1.66,3.75,5.5
CHA,11.12.2019,19:45,Wigan,West Brom,1,1,D,0,0,D,A Davies,14,6,5,2,14,14,4,3,1,2,0,0,5.5,3.75,1.66
CHA,13.12.2019,19:45,Charlton,Hull,2,2,D,1,0,H,A Davies,5,15,2,5,7,11,4,9,2,2,0,0,3.8,3.6,1.95
CHA,14.12.2019,12:30,Birmingham,West Brom,2,3,A,1,1,D,D England,16,9,6,3,11,12,7,2,2,2,0,0,4.2,3.75,1.85
CHA,14.12.2019,15:00,Bristol City,Blackburn,0,2,A,0,1,A,J Brooks,6,8,1,5,16,16,5,5,1,2,0,0,2.15,3.4,3.4
CHA,14.12.2019,15:00,Derby,Millwall,0,1,A,0,1,A,C Kavanagh,11,7,1,2,13,9,9,3,1,2,0,0,2.5,3.2,3.0
CHA,14.12.2019,15:00,Stoke,Reading,0,0,D,0,0,D,L Mason,11,3,0,0,12,12,1,4,1,3,0,0,2.0,3.4,3.9
CHA,21.12.2019,15:00,Huddersfield,Nott'm Forest,2,1,H,1,0,H,A Davies,13,15,5,5,5,10,5,9,3,3,0,0,2.62,3.25,2.75
CHA,21.12.2019,15:00,Hull,Birmingham,3,0,H,1,0,H,A Backhouse,14,12,6,2,6,8,9,6,2,2,0,0,1.9,3.6,4.0
CHA,21.12.2019,15:00,Millwall,Barnsley,1,2,A,0,1,A,J Gillett,16,13,1,6,10,17,8,3,2,4,0,0,1.83,3.7,4.2
CHA,21.12.2019,15:00,Reading,Derby,3,0,H,1,0,H,M Salisbury,14,16,7,6,8,17,6,6,2,7,0,1,2.05,3.4,3.6
CHA,26.12.2019,15:00,Blackburn,Birmingham,1,1,D,0,0,D,R Jones,11,13,3,3,16,23,3,2,3,3,0,0,2.1,3.4,3.6
CHA,26.12.2019,15:00,Middlesbrough,Huddersfield,1,0,H,1,0,H,D England,14,8,3,3,12,7,5,4,3,4,0,0,2.45,3.1,3.1
CHA,26.12.2019,15:00,Stoke,Sheffield Weds,3,2,H,1,0,H,J Brooks,17,4,8,3,6,25,8,2,0,2,0,0,2.6,3.2,2.8
CHA,26.12.2019,15:00,Wigan,Derby,1,1,D,0,0,D,J Gillett,11,7,4,3,12,22,10,2,1,3,0,0,2.4,3.3,3.0
CHA,29.12.2019,15:00,Fulham,Stoke,1,0,H,1,0,H,A Davies,10,11,5,6,11,14,5,3,2,3,0,0,1.83,3.6,4.33
CHA,29.12.2019,15:00,Millwall,Brentford,1,0,H,1,0,H,R Jones,8,6,2,2,9,8,4,5,3,1,0,0,3.8,3.3,2.05
CHA,29.12.2019,15:00,Preston,Reading,0,2,A,0,2,A,J Gillett,21,12,5,3,12,5,8,1,0,0,0,0,1.9,3.6,4.0
CHA,29.12.2019,15:00,Swansea,Barnsley,0,0,D,0,0,D,A Coggins,11,12,5,1,17,12,7,3,1,4,0,0,1.9,3.6,4.0
CHA,01.01.2020,15:00,Preston,Middlesbrough,0,2,A,0,1,A,J Brooks,11,18,2,5,4,18,6,3,0,2,0,0,1.8,3.8,4.33
CHA,01.01.2020,15:00,QPR,Cardiff,6,1,H,3,0,H,D England,14,12,7,2,9,10,4,10,2,1,0,0,2.05,3.4,3.6
CHA,01.01.2020,17:15,West Brom,Leeds,1,1,D,1,0,H,R Jones,13,10,6,2,18,13,8,9,2,3,0,0,2.87,3.4,2.4
CHA,02.01.2020,19:45,Swansea,Charlton,1,0,H,1,0,H,P Bankes,14,7,3,5,8,9,7,5,1,3,0,0,1.53,4.2,5.75
CHA,11.01.2020,12:30,Brentford,QPR,3,1,H,3,0,H,J Brooks,14,4,6,2,8,17,8,0,0,5,0,0,1.61,4.0,5.5
CHA,11.01.2020,15:00,Barnsley,Huddersfield,2,1,H,1,0,H,S Hooper,7,10,2,2,13,22,4,4,2,5,0,0,2.15,3.6,3.25
CHA,11.01.2020,15:00,Charlton,West Brom,2,2,D,1,1,D,J Gillett,7,19,2,5,10,14,5,5,2,6,0,0,5.5,4.2,1.57
CHA,11.01.2020,15:00,Luton,Birmingham,1,2,A,0,1,A,G Scott,9,10,2,7,7,20,5,5,1,3,0,1,2.9,3.5,2.4
CHA,18.01.2020,12:30,QPR,Leeds,1,0,H,1,0,H,P Bankes,9,17,2,3,17,11,4,11,4,3,0,1,4.5,3.9,1.75
CHA,18.01.2020,15:00,Birmingham,Cardiff,1,1,D,1,0,H,A Davies,14,6,3,2,11,10,8,6,1,3,0,0,2.4,3.4,2.9
CHA,18.01.2020,15:00,Sheffield Weds,Blackburn,0,5,A,0,3,A,J Gillett,4,15,1,9,14,11,1,5,1,1,1,0,1.75,3.75,4.75
CHA,28.01.2020,19:45,Cardiff,West Brom,2,1,H,0,0,D,R Jones,10,16,5,3,16,11,1,7,1,0,0,0,3.0,3.3,2.37
CHA,28.01.2020,19:45,Leeds,Millwall,3,2,H,0,2,A,D England,28,11,11,5,12,10,7,3,2,1,0,0,1.53,4.0,7.0
CHA,28.01.2020,19:45,Luton,Derby,3,2,H,0,0,D,A Davies,8,15,5,4,7,18,10,3,1,4,0,1,3.1,3.4,2.3
CHA,31.01.2020,19:45,Cardiff,Reading,1,1,D,0,1,A,S Hooper,18,8,4,2,17,13,8,5,3,2,0,0,2.1,3.4,3.5
CHA,31.01.2020,19:45,Derby,Stoke,4,0,H,2,0,H,R Jones,10,7,5,1,15,16,1,7,2,2,0,0,2.8,3.1,2.7
CHA,01.02.2020,15:00,Charlton,Barnsley,2,1,H,2,0,H,J Brooks,8,16,4,6,9,15,6,6,1,4,0,0,2.87,3.5,2.37
CHA,01.02.2020,15:00,Sheffield Weds,Millwall,0,0,D,0,0,D,D Coote,15,7,2,2,20,13,6,2,4,3,0,0,2.2,3.1,3.6
CHA,08.02.2020,12:30,Wigan,Preston,1,2,A,0,1,A,D England,12,15,4,4,13,10,11,8,1,3,0,0,2.8,3.2,2.6
CHA,08.02.2020,15:00,Brentford,Middlesbrough,3,2,H,1,0,H,P Bankes,14,10,5,5,11,12,7,4,0,1,0,0,1.5,4.2,6.5
CHA,08.02.2020,15:00,Reading,Hull,1,1,D,0,0,D,A Davies,19,14,5,7,8,12,3,4,1,3,0,0,2.0,3.5,3.8
CHA,08.02.2020,15:00,Stoke,Charlton,3,1,H,1,1,D,J Gillett,13,5,6,2,22,15,8,4,0,5,0,0,1.53,4.0,6.5
CHA,11.02.2020,19:45,Brentford,Leeds,1,1,D,1,1,D,R Jones,7,13,2,6,8,8,3,10,0,0,0,0,2.4,3.4,2.9
CHA,12.02.2020,19:45,Huddersfield,Cardiff,0,3,A,0,2,A,D England,19,11,4,6,9,10,5,6,1,2,0,0,2.45,3.25,3.0
CHA,12.02.2020,19:45,Millwall,Fulham,1,1,D,1,1,D,A Madley,9,9,2,2,9,12,4,3,1,2,0,0,2.9,3.2,2.5
CHA,12.02.2020,20:00,Stoke,Preston,0,2,A,0,0,D,J Brooks,14,4,5,3,11,14,7,4,3,2,0,0,2.1,3.25,3.8
CHA,15.02.2020,15:00,Cardiff,Wigan,2,2,D,1,2,A,J Jbrooks,15,11,5,4,18,12,9,8,3,3,0,0,2.0,3.4,3.8
CHA,15.02.2020,15:00,Charlton,Blackburn,0,2,A,0,2,A,A Davies,9,14,7,5,15,12,4,4,0,3,0,0,3.2,3.25,2.3
CHA,15.02.2020,15:00,Derby,Huddersfield,1,1,D,0,0,D,C Pawson,10,10,7,3,10,8,4,5,3,0,0,0,2.05,3.4,3.75
CHA,15.02.2020,15:00,Middlesbrough,Luton,0,1,A,0,1,A,J Gillett,7,10,0,1,9,14,8,9,1,4,0,0,1.61,4.0,5.5
CHA,22.02.2020,15:00,Birmingham,Sheffield Weds,3,3,D,2,2,D,J Brooks,11,10,4,5,13,15,4,3,1,5,0,0,2.2,3.25,3.5
CHA,22.02.2020,15:00,Bristol City,West Brom,0,3,A,0,2,A,D England,7,17,1,8,14,13,3,7,2,1,0,1,4.2,3.8,1.8
CHA,22.02.2020,15:00,Charlton,Luton,3,1,H,1,1,D,A Marriner,12,9,3,2,10,8,6,5,2,1,0,0,2.2,3.4,3.25
CHA,22.02.2020,15:00,Leeds,Reading,1,0,H,0,0,D,J Gillett,18,8,5,2,12,10,6,3,1,2,0,0,1.28,5.5,11.0
CHA,22.02.2020,15:00,Nott'm Forest,QPR,0,0,D,0,0,D,R Jones,12,6,2,3,11,17,10,2,1,3,0,0,2.1,3.5,3.4
CHA,22.02.2020,15:00,Swansea,Huddersfield,3,1,H,1,0,H,A Davies,15,7,6,4,11,12,5,5,1,1,0,0,2.0,3.5,3.75
CHA,25.02.2020,19:45,Huddersfield,Bristol City,2,1,H,1,0,H,R Jones,20,8,6,3,7,12,2,2,2,4,0,0,2.15,3.4,3.4
CHA,25.02.2020,19:45,Luton,Brentford,2,1,H,2,0,H,D England,10,19,3,7,14,9,2,11,2,1,0,0,5.75,4.33,1.55
CHA,25.02.2020,20:00,West Brom,Preston,2,0,H,2,0,H,K Friend,21,5,9,0,8,11,7,2,0,0,0,1,1.65,3.9,5.5
CHA,26.02.2020,19:45,Hull,Barnsley,0,1,A,0,1,A,D Coote,12,22,3,6,11,12,4,9,1,1,0,0,2.5,3.5,2.75
CHA,29.02.2020,15:00,Blackburn,Swansea,2,2,D,1,1,D,P Bankes,16,9,5,3,17,13,2,1,3,5,0,0,2.1,3.3,3.6
CHA,29.02.2020,15:00,Cardiff,Brentford,2,2,D,2,2,D,S Hooper,11,10,6,5,14,6,2,7,4,1,0,0,3.5,3.3,2.15
CHA,29.02.2020,15:00,Millwall,Bristol City,1,1,D,0,1,A,A Davies,12,3,4,1,14,16,5,7,1,0,0,0,1.95,3.3,4.2
CHA,02.03.2020,19:45,Middlesbrough,Nott'm Forest,2,2,D,2,1,H,D England,14,16,4,2,13,11,4,11,1,1,0,0,2.45,3.2,2.87
CHA,07.03.2020,12:30,Bristol City,Fulham,1,1,D,0,0,D,D Coote,14,19,8,5,8,13,3,7,2,2,0,0,3.6,3.4,2.1
CHA,07.03.2020,15:00,Birmingham,Reading,1,3,A,1,0,H,A Davies,18,9,4,4,14,7,4,2,2,1,0,0,2.05,3.5,3.6
CHA,07.03.2020,15:00,Swansea,West Brom,0,0,D,0,0,D,R Jones,9,10,2,1,9,18,3,4,1,2,0,0,3.5,3.5,2.1
CHA,08.03.2020,15:00,Derby,Blackburn,3,0,H,2,0,H,J Brooks,16,11,11,3,12,14,3,6,2,3,0,1,2.3,3.2,3.1
CHA,20.06.2020,15:00,Huddersfield,Wigan,0,2,A,0,1,A,J Gillett,9,9,1,5,16,17,3,2,2,1,0,0,2.37,3.25,3.1
CHA,20.06.2020,15:00,Hull,Charlton,0,1,A,0,1,A,J Brooks,12,10,3,2,13,20,9,3,1,0,0,0,2.2,3.4,3.3
CHA,20.06.2020,15:00,Luton,Preston,1,1,D,0,0,D,J Brooks,5,12,1,4,9,7,5,7,1,0,0,0,3.3,3.4,2.2
CHA,20.06.2020,15:00,QPR,Barnsley,0,1,A,0,1,A,A Davies,8,10,2,2,11,18,2,6,0,1,0,0,2.15,3.5,3.3
CHA,20.06.2020,15:00,Reading,Stoke,1,1,D,1,0,H,M Salisbury,7,10,3,3,11,13,4,5,0,1,0,0,2.9,3.25,2.5
CHA,20.06.2020,15:00,Sheffield Weds,Nott'm Forest,1,1,D,0,0,D,R Jones,13,10,3,3,17,15,7,4,3,3,0,0,2.6,3.25,2.8
CHA,27.06.2020,13:00,Derby,Reading,2,1,H,2,0,H,S Duncan,13,12,6,4,13,12,4,8,2,0,1,1,2.1,3.4,3.6
CHA,27.06.2020,15:00,Wigan,Blackburn,2,0,H,0,0,D,D England,13,12,3,3,13,14,3,6,1,0,0,0,2.62,3.25,2.75
CHA,28.06.2020,12:00,Bristol City,Sheffield Weds,1,2,A,0,1,A,J Brooks,7,12,3,4,13,17,3,9,1,2,0,0,2.62,3.3,2.7
CHA,30.06.2020,19:45,Leeds,Luton,1,1,D,0,0,D,J Brooks,23,3,9,2,9,10,15,1,0,5,0,0,1.25,6.0,11.0
CHA,01.07.2020,17:00,Preston,Derby,0,1,A,0,1,A,J Gillett,9,8,1,3,10,11,7,5,0,0,0,0,2.4,3.3,3.0
CHA,01.07.2020,18:00,Birmingham,Huddersfield,0,3,A,0,1,A,R Jones,10,12,2,6,17,20,4,4,0,1,0,0,2.45,3.2,3.0
CHA,04.07.2020,12:30,Derby,Nott'm Forest,1,1,D,0,1,A,D England,10,10,3,4,12,7,3,4,1,3,1,0,2.37,3.25,3.1
CHA,04.07.2020,15:00,Blackburn,Leeds,1,3,A,0,2,A,R Jones,11,17,3,5,18,12,0,4,1,2,0,0,5.25,3.8,1.66
CHA,05.07.2020,14:00,Middlesbrough,QPR,0,1,A,0,1,A,S Duncan,15,10,4,5,14,14,9,7,3,0,0,0,2.1,3.4,3.6
CHA,07.07.2020,17:00,Nott'm Forest,Fulham,0,1,A,0,1,A,R Jones,10,9,4,2,16,12,8,6,2,2,0,0,2.8,3.0,2.7
CHA,07.07.2020,18:00,Brentford,Charlton,2,1,H,0,1,A,J Brooks,21,6,8,2,10,9,7,1,1,1,0,0,1.28,5.5,11.0
CHA,08.07.2020,18:00,Birmingham,Swansea,1,3,A,1,2,A,J Gillett,20,10,5,4,16,6,9,4,2,3,0,0,2.87,3.3,2.5
